source_id,source_title,source_version,c,min_orbit,A,r,normalization
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,143,29,16,7,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,145,1,10,2,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,145,23,22,10,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,151,113,18,10,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,157,13,28,12,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,161,11,15,6,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,161,19,15,6,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,167,95,17,9,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,167,127,17,9,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,169,11,24,9,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,173,37,17,7,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,175,29,24,12,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,175,53,16,8,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,175,73,8,4,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,175,89,8,4,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
wegner-2021-arxiv-2101.08060v1-supplement-derived,The Collatz Problem generalized to 3x+k; supplement list of limit cycles,arXiv:2101.08060v1,175,101,8,4,"positive-cycle row keyed by (k, smallest positive x_lc, A, odd-step count b)"
